DATE,N_WELLS,MONTHLY_GAS_PROD
2006-03-01,18603,31502337.0
2006-04-01,18743,30597274.0
2006-05-01,19002,31640359.0
2006-06-01,19217,30914734.0
2006-07-01,19526,31993141.0
2006-08-01,19664,32565067.0
2006-09-01,19805,31526125.0
2006-10-01,20134,30923710.0
2006-11-01,20392,32041314.0
2006-12-01,20418,31704489.0
2007-01-01,20487,27745856.0
2007-02-01,20647,28101937.0
2007-03-01,20754,32326910.0
2007-04-01,21138,31248318.0
2007-05-01,21536,32317020.0
2007-06-01,21585,29699681.0
2007-07-01,21872,32265850.0
2007-08-01,21745,30008747.0
2007-09-01,21845,31856085.0
2007-10-01,21916,32649843.0
2007-11-01,22069,31376627.0
2007-12-01,22300,31351573.0
2008-01-01,22277,31822980.0
2008-02-01,22426,30076000.0
2008-03-01,22582,32288924.0
2008-04-01,22596,31024134.0
2008-05-01,22870,30861293.0
2008-06-01,22759,31581405.0
2008-07-01,22933,32496384.0
2008-08-01,23075,32459639.0
2008-09-01,23379,31360998.0
2008-10-01,23456,32183775.0
2008-11-01,23478,31298242.0
2008-12-01,23636,31264950.0
2009-01-01,23689,31532515.0
2009-02-01,23547,28739295.0
2009-03-01,23660,31060163.0
2009-04-01,23651,29787519.0
2009-05-01,23344,31085137.0
2009-06-01,23333,29560933.0
2009-07-01,23187,29946951.0
2009-08-01,23340,30824232.0
2009-09-01,23143,29399574.0
2009-10-01,23071,30255177.0
2009-11-01,22934,28832885.0
2009-12-01,22926,28619754.0
2010-01-01,22887,28570162.0
2010-02-01,22913,26102228.0
2010-03-01,22956,28575118.0
2010-04-01,22984,27711985.0
2010-05-01,23178,28699480.0
2010-06-01,23252,27612184.0
2010-07-01,23094,27604643.0
2010-08-01,23213,28538551.0
2010-09-01,23183,27267127.0
2010-10-01,23199,28348994.0
2010-11-01,23105,27358434.0
2010-12-01,23054,27977092.0
2011-01-01,22892,27281063.0
2011-02-01,23004,23642829.0
2011-03-01,23083,27015541.0
2011-04-01,23106,26396714.0
2011-05-01,23043,26950986.0
2011-06-01,23134,25977904.0
2011-07-01,23077,26406892.0
2011-08-01,23075,26558292.0
2011-09-01,23163,25724397.0
2011-10-01,23128,26200051.0
2011-11-01,23162,25197632.0
2011-12-01,23033,25180195.0
2012-01-01,23069,25286029.0
2012-02-01,23038,23598893.0
2012-03-01,23040,25431932.0
2012-04-01,22853,24540710.0
2012-05-01,22769,25507142.0
2012-06-01,22745,24826996.0
2012-07-01,22518,25296781.0
2012-08-01,22523,25208833.0
2012-09-01,22478,24438392.0
2012-10-01,22570,25330002.0
2012-11-01,22489,24620303.0
2012-12-01,22674,24964987.0
2013-01-01,22667,24687412.0
2013-02-01,22594,22148427.0
2013-03-01,22704,24608714.0
2013-04-01,22707,24059248.0
2013-05-01,22757,24959499.0
2013-06-01,22768,24106525.0
2013-07-01,22732,25057098.0
2013-08-01,22792,25526238.0
2013-09-01,22785,24634294.0
2013-10-01,22804,25602491.0
2013-11-01,22639,24048199.0
2013-12-01,22671,23998856.0
2014-01-01,22651,23946466.0
2014-02-01,22596,21102753.0
2014-03-01,22724,23907303.0
2014-04-01,22744,23497846.0
2014-05-01,22794,24496448.0
2014-06-01,22753,23650155.0
2014-07-01,22761,24676124.0
2014-08-01,22769,24879895.0
2014-09-01,22718,24315152.0
2014-10-01,22678,25167630.0
2014-11-01,22686,24055069.0
2014-12-01,22527,24395800.0
2015-01-01,22230,27322573.0
2015-02-01,22357,24604679.0
2015-03-01,22614,26781996.0
2015-04-01,22357,23358422.0
2015-05-01,22307,23951893.0
2015-06-01,22343,23091709.0
2015-07-01,22501,23575482.0
2015-08-01,22470,23629722.0
2015-09-01,22396,22643197.0
2015-10-01,22248,23198491.0
2015-11-01,22165,21857504.0
2015-12-01,21861,21900890.0
2016-01-01,21821,21630193.0
2016-02-01,21595,20129458.0
2016-03-01,21660,21530627.0
2016-04-01,21565,20463751.0
2016-05-01,21446,21051006.0
2016-06-01,21402,20191934.0
2016-07-01,21394,20716903.0
2016-08-01,21416,20473016.0
2016-09-01,21354,20981154.0
2016-10-01,21337,20114300.0
2016-11-01,21520,19415782.0
2016-12-01,21454,20018697.0
